
====================
Pre-training using samples
====================
GV pre-training enabled
Epoch   830 | Total:  727.2239 | Goal:   0.0000 | Unsafe: 203.8579 | Init:  32.5456 | Outside: 104.0849 | Gen: 386.7355 | Time: 173.2s
Epoch   840 | Total:  695.4243 | Goal:   0.0000 | Unsafe: 180.2577 | Init:  32.0288 | Outside: 101.0980 | Gen: 382.0397 | Time: 175.4s
Epoch   850 | Total:  667.2316 | Goal:   0.0000 | Unsafe: 172.0519 | Init:  30.1759 | Outside:  97.7238 | Gen: 367.2799 | Time: 177.5s
Epoch   860 | Total:  640.3428 | Goal:   0.0000 | Unsafe: 159.4818 | Init:  30.8652 | Outside:  93.1360 | Gen: 356.8599 | Time: 179.5s
Epoch   870 | Total:  615.0165 | Goal:   0.0000 | Unsafe: 148.5282 | Init:  25.7942 | Outside:  91.9669 | Gen: 348.7272 | Time: 181.8s
Epoch   880 | Total:  590.3271 | Goal:   0.0000 | Unsafe: 140.6677 | Init:  27.8695 | Outside:  86.6030 | Gen: 335.1870 | Time: 184.0s
Epoch   890 | Total:  566.0021 | Goal:   0.0000 | Unsafe: 134.0558 | Init:  26.4142 | Outside:  83.6267 | Gen: 321.9055 | Time: 186.3s
Epoch   900 | Total:  544.7150 | Goal:   0.0000 | Unsafe: 122.7582 | Init:  25.6259 | Outside:  80.5858 | Gen: 315.7451 | Time: 188.5s
Epoch   910 | Total:  524.8281 | Goal:   0.0000 | Unsafe: 114.7164 | Init:  23.5166 | Outside:  78.5548 | Gen: 308.0403 | Time: 190.7s
Epoch   920 | Total:  507.5892 | Goal:   0.0000 | Unsafe: 107.9804 | Init:  23.5404 | Outside:  75.4632 | Gen: 300.6053 | Time: 192.9s
Epoch   930 | Total:  492.6840 | Goal:   0.0000 | Unsafe: 100.9551 | Init:  23.0651 | Outside:  73.1815 | Gen: 295.4822 | Time: 195.2s
