
====================
Pre-Training: Constraint-Structured Initialization (Sample-Based)
====================
  GV (Φ) pre-training ENABLED (using provided GV_net)
Epoch   190 | Total: 14532.5244 | Goal: 228.3546 | Unsafe: 6683.3379 | Init:  13.9813 | Outside: 169.2841 | Gen: 7437.5664
[Check] epoch=000190  1.000e-01 
Refining outside cells: 439 failing, refined 100 cells, 14012 total
Rebuilding V cache with 93308 cells...
Rebuilding Phi cache with 1664 cells...
Caches rebuilt successfully!
Epoch   200 | Total: 14117.9004 | Goal: 259.6041 | Unsafe: 6212.0732 | Init:  24.1863 | Outside: 336.9946 | Gen: 7285.0420
[Check] epoch=000200  1.000e-01 
Epoch   210 | Total: 13641.1035 | Goal: 257.6042 | Unsafe: 5934.3965 | Init:  46.6231 | Outside: 325.6848 | Gen: 7076.7949
[Check] epoch=000210  1.000e-01 
Epoch   220 | Total: 13217.1270 | Goal: 269.5260 | Unsafe: 5571.0596 | Init:  94.9999 | Outside: 326.4470 | Gen: 6955.0947
[Check] epoch=000220  1.000e-01 
Epoch   230 | Total: 12876.4814 | Goal: 326.1783 | Unsafe: 5285.3911 | Init:  11.4516 | Outside: 360.0811 | Gen: 6893.3794
[Check] epoch=000230  1.000e-01 
Epoch   240 | Total: 12483.4229 | Goal: 331.9089 | Unsafe: 4895.9810 | Init: 121.2100 | Outside: 354.3602 | Gen: 6779.9629
[Check] epoch=000240  1.000e-01 
Epoch   250 | Total: 12158.2197 | Goal: 352.8956 | Unsafe: 4582.9390 | Init: 145.5654 | Outside: 362.9341 | Gen: 6713.8857
[Check] epoch=000250  1.000e-01 
Epoch   260 | Total: 11844.2324 | Goal: 379.6821 | Unsafe: 4358.0869 | Init: 114.7033 | Outside: 379.5036 | Gen: 6612.2568
[Check] epoch=000260  1.000e-01 
Epoch   270 | Total: 11560.8809 | Goal: 401.6318 | Unsafe: 4196.7988 | Init:  75.1189 | Outside: 387.3313 | Gen: 6500.0010
[Check] epoch=000270  1.000e-01 
Epoch   280 | Total: 11316.6992 | Goal: 415.9115 | Unsafe: 4068.4966 | Init:  39.9262 | Outside: 391.4086 | Gen: 6400.9561
[Check] epoch=000280  1.000e-01 
Epoch   290 | Total: 11073.2695 | Goal: 419.2966 | Unsafe: 3851.5959 | Init: 103.8846 | Outside: 389.3085 | Gen: 6309.1831
[Check] epoch=000290  1.000e-01 
Epoch   300 | Total: 10853.4883 | Goal: 441.3014 | Unsafe: 3671.0334 | Init: 131.9524 | Outside: 398.0675 | Gen: 6211.1338
[Check] epoch=000300  1.000e-01 
Epoch   310 | Total: 10666.0703 | Goal: 500.1596 | Unsafe: 3573.4709 | Init:  15.2644 | Outside: 431.3257 | Gen: 6145.8496
[Check] epoch=000310  1.000e-01 
Epoch   320 | Total: 10479.6328 | Goal: 530.3265 | Unsafe: 3385.9543 | Init:  13.7574 | Outside: 444.1495 | Gen: 6105.4448
[Check] epoch=000320  1.000e-01 
Epoch   330 | Total: 10274.8320 | Goal: 515.0228 | Unsafe: 3284.1470 | Init:  31.0968 | Outside: 435.4188 | Gen: 6009.1465
[Check] epoch=000330  1.000e-01 
Epoch   340 | Total: 10113.1797 | Goal: 525.3867 | Unsafe: 3186.1506 | Init:  31.1530 | Outside: 439.1494 | Gen: 5931.3398
[Check] epoch=000340  1.000e-01 
Epoch   350 | Total: 9942.5273 | Goal: 521.8835 | Unsafe: 3025.9702 | Init:  95.0859 | Outside: 434.9836 | Gen: 5864.6035
[Check] epoch=000350  1.000e-01 
Epoch   360 | Total: 9798.2393 | Goal: 557.7125 | Unsafe: 2913.6187 | Init:  40.4139 | Outside: 451.7715 | Gen: 5834.7231
[Check] epoch=000360  1.000e-01 
Epoch   370 | Total: 9657.9658 | Goal: 530.4485 | Unsafe: 2828.9131 | Init: 117.2030 | Outside: 438.6874 | Gen: 5742.7134
[Check] epoch=000370  1.000e-01 
Epoch   380 | Total: 9508.9941 | Goal: 543.6475 | Unsafe: 2792.3906 | Init:  49.4382 | Outside: 445.9454 | Gen: 5677.5723
[Check] epoch=000380  1.000e-01 
Epoch   390 | Total: 9377.3789 | Goal: 536.6289 | Unsafe: 2714.4387 | Init:  64.5597 | Outside: 441.8031 | Gen: 5619.9478
[Check] epoch=000390  1.000e-01 
Refining outside cells: 1066 failing, refined 100 cells, 14712 total
Rebuilding V cache with 94008 cells...
Rebuilding Phi cache with 1664 cells...
Caches rebuilt successfully!
Epoch   400 | Total: 9590.6777 | Goal: 535.1810 | Unsafe: 2674.2219 | Init:  53.8811 | Outside: 784.0990 | Gen: 5543.2954
[Check] epoch=000400  1.000e-01 
Epoch   410 | Total: 9445.6055 | Goal: 449.6884 | Unsafe: 2889.3350 | Init:  71.3976 | Outside: 669.2925 | Gen: 5365.8916
[Check] epoch=000410  1.000e-01 
Epoch   420 | Total: 9321.0684 | Goal: 431.0645 | Unsafe: 2853.0852 | Init:  64.8258 | Outside: 648.5078 | Gen: 5323.5845
[Check] epoch=000420  1.000e-01 
Epoch   430 | Total: 9198.7881 | Goal: 437.7333 | Unsafe: 2767.6714 | Init:  57.8277 | Outside: 657.3158 | Gen: 5278.2397
[Check] epoch=000430  1.000e-01 
Epoch   440 | Total: 9096.1631 | Goal: 442.3561 | Unsafe: 2729.5881 | Init:  29.4975 | Outside: 661.6863 | Gen: 5233.0352
[Check] epoch=000440  1.000e-01 
Epoch   450 | Total: 8973.3672 | Goal: 422.3096 | Unsafe: 2645.5364 | Init:  85.5626 | Outside: 638.1868 | Gen: 5181.7725
[Check] epoch=000450  1.000e-01 
Epoch   460 | Total: 8869.8438 | Goal: 434.4407 | Unsafe: 2606.7493 | Init:  33.2676 | Outside: 650.0420 | Gen: 5145.3447
[Check] epoch=000460  1.000e-01 
Epoch   470 | Total: 8762.1914 | Goal: 415.6963 | Unsafe: 2526.6006 | Init: 102.0125 | Outside: 630.5540 | Gen: 5087.3281
[Check] epoch=000470  1.000e-01 
Epoch   480 | Total: 8647.0176 | Goal: 430.4586 | Unsafe: 2484.6262 | Init:  42.8560 | Outside: 644.0546 | Gen: 5045.0220
[Check] epoch=000480  1.000e-01 
Epoch   490 | Total: 8537.9580 | Goal: 424.3406 | Unsafe: 2383.2090 | Init:  89.7697 | Outside: 636.0696 | Gen: 5004.5693
