Network: 3 -> 64 -> 64 -> 1
Training: 200000 epochs, LR=0.005
Constraints: beta_s=0.0, beta_ra=5.0
Generator: weight=1.0, start_epoch=0
Training method: CROWN bounds (rigorous)

Dynamics(dim=3, f(x)=<callable>, g(x)=<callable>)
V network: ValueNetwork(
  input_dim=3,
  hidden=[64, 64],
  output_dim=1,
  activation=builtin_function_or_method,
  input_scale=[6.0, 6.0, 6.0],
  scale_factor=20.0
)

Using device: cpu

================================================================================
PRE-TRAINING: Constraint-Structured Initialization (Sample-Based)
================================================================================
  GV (Φ) pre-training ENABLED (using provided GV_net)
  Epoch [8100/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.87029e-01
  Epoch [8200/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.004422, Total=3.87745e-01
  Epoch [8300/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.80513e-01
  Epoch [8400/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.76605e-01
  Epoch [8500/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.73633e-01
  Epoch [8600/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.69506e-01
  Epoch [8700/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.66500e-01
  Epoch [8800/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.62197e-01
  Epoch [8900/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.59425e-01
  Epoch [9000/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.54829e-01
  Epoch [9100/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.52383e-01
  Epoch [9200/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.48778e-01
  Epoch [9300/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.45032e-01
  Epoch [9400/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.45762e-01
  Epoch [9500/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.40432e-01
  Epoch [9600/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.35099e-01
  Epoch [9700/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.31483e-01
  Epoch [9800/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.27697e-01
  Epoch [9900/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.22185e-01
  Epoch [10000/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.19448e-01
  Epoch [10100/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.13900e-01
  Epoch [10200/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.20449e-01
  Epoch [10300/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.14389e-01
  Epoch [10400/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.08239e-01
  Epoch [10500/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=3.02037e-01
  Epoch [10600/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=2.95786e-01
  Epoch [10700/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=2.89491e-01
  Epoch [10800/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=2.84324e-01
  Epoch [10900/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=8.05676e-01
  Epoch [11000/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=8.02267e-01
  Epoch [11100/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.98672e-01
  Epoch [11200/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.94928e-01
  Epoch [11300/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.91047e-01
  Epoch [11400/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.87008e-01
  Epoch [11500/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.82829e-01
  Epoch [11600/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.78490e-01
  Epoch [11700/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.74003e-01
  Epoch [11800/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.69355e-01
  Epoch [11900/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.64541e-01
  Epoch [12000/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.59553e-01
  Epoch [12100/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.54406e-01
  Epoch [12200/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.49067e-01
  Epoch [12300/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.43557e-01
  Epoch [12400/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.37887e-01
  Epoch [12500/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.32040e-01
  Epoch [12600/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.25997e-01
  Epoch [12700/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.19788e-01
  Epoch [12800/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.13407e-01
  Epoch [12900/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.06850e-01
  Epoch [13000/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=7.00116e-01
  Epoch [13100/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=6.93208e-01
  Epoch [13200/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=6.86128e-01
  Epoch [13300/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=6.78879e-01
  Epoch [13400/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=6.71464e-01
  Epoch [13500/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=6.63887e-01
  Epoch [13600/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=6.56153e-01
  Epoch [13700/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=6.48265e-01
  Epoch [13800/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=6.40231e-01
  Epoch [13900/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=6.32055e-01
  Epoch [14000/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=6.23745e-01
  Epoch [14100/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=6.15810e-01
  Epoch [14200/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=6.07359e-01
  Epoch [14300/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=5.98743e-01
  Epoch [14400/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=5.89964e-01
  Epoch [14500/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=5.81077e-01
  Epoch [14600/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=5.72717e-01
  Epoch [14700/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=5.63636e-01
  Epoch [14800/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=5.54517e-01
  Epoch [14900/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=5.45986e-01

  Best loss: 0.283725
  Saved pretrained V_net to: /Users/chko1829/src/Projects/ML/Neural_Certificate/nonlinear3d_syn_unsafe/outputs/V_pretrained.pth
  Saved pretrained Controller_net to: /Users/chko1829/src/Projects/ML/Neural_Certificate/nonlinear3d_syn_unsafe/outputs/controller_pretrained.pth
================================================================================
Pre-training complete. V + GV (Φ) + Controller initialized.
================================================================================

Pretraining completed!


Using device: cpu

================================================================================
BOUND-BASED TRAINING (using CROWN)
================================================================================

Collecting all cells for V network...
  init: 8000 cells
  goal: 2197 cells
  unsafe: 10368 cells
  outside: 3250 cells
  boundary: 6 cells
  Total V cells: 23821

Preparing concatenated input bounds for V network...

Initializing CROWN cache for ALL 23821 V cells...
[SymbolicCROWNCache] Creating BoundedModule for 23821 cells...

Creating CROWN cache for 'generator' (Phi)...
  generator: 1744 cells
[SymbolicCROWNCache_Phi] Creating BoundedModule for 1744 cells...
/Users/chko1829/src/Projects/ML/Neural_Certificate/src/phi_module.py:169: TracerWarning: Converting a tensor to a Python boolean might cause the trace to be incorrect. We can't record the data flow of Python values, so this value will be treated as a constant in the future. This means that the trace might not generalize to other inputs!
  self._cached_scale_D == D
/Users/chko1829/src/Projects/ML/Neural_Certificate/src/control_network.py:175: TracerWarning: Converting a tensor to a Python boolean might cause the trace to be incorrect. We can't record the data flow of Python values, so this value will be treated as a constant in the future. This means that the trace might not generalize to other inputs!
  if x.shape[-1] != 3:

Using CONSTANT beta_s = 0.0
